="CES-D Event Study"
="",="(1)"
="",="cesd"
="",="b/se"
="2.event_bin_pos",="0.0386"
="",="(0.0777)"
="4.event_bin_pos",="0.0389"
="",="(0.0613)"
="6.event_bin_pos",="0.0000"
="",="(.)"
="8.event_bin_pos",="-0.0337"
="",="(0.0608)"
="10.event_bin_pos",="-0.0583"
="",="(0.0696)"
="12.event_bin_pos",="-0.0780"
="",="(0.0886)"
="14.event_bin_pos",="-0.0351"
="",="(0.1085)"
="8.wave",="0.0000"
="",="(.)"
="9.wave",="-0.1324"
="",="(0.0500)"
="10.wave",="-0.1283"
="",="(0.0549)"
="11.wave",="-0.1946"
="",="(0.0630)"
="12.wave",="-0.2447"
="",="(0.0780)"
="13.wave",="-0.1876"
="",="(0.0993)"
="14.wave",="-0.1298"
="",="(0.1219)"
="15.wave",="0.0080"
="",="(0.1355)"
="16.wave",="-0.1103"
="",="(0.1454)"
="_cons",="1.2498"
="",="(0.0850)"
="N",="11976"
="Reference: k=-2 (event_bin_pos=6), matching 07_event_study.do"
="Person FE with wave FE, clustered SEs"
="N=11976, persons=2823"
