="Event Study: Life Satisfaction Around SS Claiming"

="",="(1)",="(2)"
="",="Basic Event Study",="× Early Claimer"

="k=-6",="0.0522",="0.0552"
="",="(0.102)",="(0.123)"

="k=-4",="0.168",="0.150"
="",="(0.117)",="(0.141)"

="k=-2 (ref)",="0",="0"
="",="(.)",="(.)"

="k=0",="0.195",="0.0813"
="",="(0.119)",="(0.137)"

="k=+2",="0.116",="-0.00907"
="",="(0.0888)",="(0.110)"

="k=+4",="0.320*",="0.240"
="",="(0.129)",="(0.150)"

="k=+6",="0.126",="0.0648"
="",="(0.124)",="(0.141)"

="k=-6 × Early",="",="-0.00741"
="",="",="(0.182)"

="k=-4 × Early",="",="0.0614"
="",="",="(0.256)"

="k=-2 × Early",="",="0"
="",="",="(.)"

="k=0 × Early",="",="0.363"
="",="",="(0.274)"

="k=+2 × Early",="",="0.318"
="",="",="(0.175)"

="k=+4 × Early",="",="0.223"
="",="",="(0.257)"

="k=+6 × Early",="",="0.103"
="",="",="(0.194)"

="_cons",="4.959***",="4.951***"
="",="(0.193)",="(0.193)"

="Observations",="4738",="4738"
="Within R-sq",="0.104",="0.107"

="Standard errors in parentheses"
="Reference period: k=-2 (2 years before claiming)"
="All models include person FE and wave FE"
="Standard errors clustered by person"
="* p<0.05, ** p<0.01, *** p<0.001"
