="First-Stage Evidence for Mechanism"

="",="(1)",="(2)",="(3)"
="",="Claim Age->Income",="Income->Strain",="Income->LifeSat"

="claim_age_c62",="0.0702***",="",=""
="",="(0.00602)",="",=""

="ln_hh_income",="",="-0.108***",="0.0904***"
="",="",="(0.0134)",="(0.0177)"

="N",="19032",="16250",="19032"
="r2_a",="0.331",="0.105",="0.181"

="Standard errors in parentheses"
="Tests whether claiming age affects income (hypothesised mechanism)"
="If claiming age does not predict income, mediation through income is implausible"
="* p<0.05, ** p<0.01, *** p<0.001"
