="Alternative Claiming Age Categorizations"

="",="(1)",="(2)",="(3)",="(4)"
="",="62 vs 66+",="4 Categories",="FRA-relative",="Cont. FRA"

="claim_62_vs_66",="-0.0289",="",="",=""
="",="(0.0538)",="",="",=""

="female",="0.109**",="0.0716*",="0.0718*",="0.0714*"
="",="(0.0419)",="(0.0324)",="(0.0324)",="(0.0325)"

="1.raeduc",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.raeduc",="-0.177",="-0.227**",="-0.224**",="-0.225**"
="",="(0.0948)",="(0.0816)",="(0.0815)",="(0.0816)"

="3.raeduc",="0.0659",="0.00388",="0.00476",="0.00353"
="",="(0.0657)",="(0.0513)",="(0.0512)",="(0.0513)"

="4.raeduc",="-0.0138",="-0.0704",="-0.0702",="-0.0716"
="",="(0.0691)",="(0.0541)",="(0.0541)",="(0.0541)"

="5.raeduc",="0.250***",="0.162**",="0.162**",="0.164**"
="",="(0.0714)",="(0.0546)",="(0.0545)",="(0.0546)"

="black",="-0.188**",="-0.148**",="-0.149**",="-0.149**"
="",="(0.0629)",="(0.0500)",="(0.0500)",="(0.0500)"

="other_race",="0.0786",="0.0669",="0.0675",="0.0682"
="",="(0.101)",="(0.0766)",="(0.0768)",="(0.0767)"

="hispanic",="0.270***",="0.263***",="0.261***",="0.263***"
="",="(0.0803)",="(0.0623)",="(0.0624)",="(0.0625)"

="shlt",="-0.346***",="-0.370***",="-0.370***",="-0.371***"
="",="(0.0294)",="(0.0230)",="(0.0230)",="(0.0231)"

="poor_health",="-0.156*",="-0.169**",="-0.169**",="-0.169**"
="",="(0.0676)",="(0.0525)",="(0.0525)",="(0.0525)"

="conde",="-0.0765***",="-0.0649***",="-0.0646***",="-0.0651***"
="",="(0.0151)",="(0.0116)",="(0.0116)",="(0.0116)"

="married",="0.534***",="0.586***",="0.587***",="0.584***"
="",="(0.129)",="(0.100)",="(0.100)",="(0.100)"

="widowed",="0.0689",="0.205*",="0.203",="0.202"
="",="(0.133)",="(0.104)",="(0.104)",="(0.104)"

="divorced",="-0.165",="-0.0461",="-0.0467",="-0.0479"
="",="(0.141)",="(0.109)",="(0.109)",="(0.109)"

="age",="0.128*",="0.102*",="0.0989*",="0.104*"
="",="(0.0559)",="(0.0459)",="(0.0459)",="(0.0463)"

="age_sq",="-0.000749*",="-0.000573",="-0.000551",="-0.000582"
="",="(0.000380)",="(0.000310)",="(0.000310)",="(0.000313)"

="8.wave",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="9.wave",="0.667***",="0.711***",="0.710***",="0.708***"
="",="(0.0534)",="(0.0417)",="(0.0417)",="(0.0416)"

="10.wave",="0.576***",="0.622***",="0.621***",="0.619***"
="",="(0.0462)",="(0.0360)",="(0.0359)",="(0.0359)"

="11.wave",="0.535***",="0.534***",="0.532***",="0.530***"
="",="(0.0572)",="(0.0450)",="(0.0450)",="(0.0450)"

="12.wave",="0.651***",="0.695***",="0.694***",="0.690***"
="",="(0.0507)",="(0.0401)",="(0.0400)",="(0.0400)"

="13.wave",="0.773***",="0.792***",="0.789***",="0.786***"
="",="(0.0627)",="(0.0492)",="(0.0488)",="(0.0488)"

="14.wave",="0.730***",="0.783***",="0.783***",="0.780***"
="",="(0.0575)",="(0.0449)",="(0.0447)",="(0.0447)"

="15.wave",="0.694***",="0.724***",="0.722***",="0.719***"
="",="(0.0677)",="(0.0525)",="(0.0519)",="(0.0520)"

="16.wave",="0.740***",="0.789***",="0.789***",="0.786***"
="",="(0.0671)",="(0.0531)",="(0.0521)",="(0.0521)"

="1.claim_cat4",="",="0",="",=""
="",="",="(.)",="",=""

="2.claim_cat4",="",="-0.0625",="",=""
="",="",="(0.0334)",="",=""

="3.claim_cat4",="",="-0.0547",="",=""
="",="",="(0.0604)",="",=""

="4.claim_cat4",="",="0.0579",="",=""
="",="",="(0.0830)",="",=""

="1.claim_cat_fra",="",="",="0",=""
="",="",="",="(.)",=""

="2.claim_cat_fra",="",="",="-0.0467",=""
="",="",="",="(0.0388)",=""

="3.claim_cat_fra",="",="",="0.0348",=""
="",="",="",="(0.0609)",=""

="claim_rel_fra",="",="",="",="-0.00850"
="",="",="",="",="(0.00964)"

="_cons",="-0.113",="0.858",="0.953",="0.741"
="",="(2.050)",="(1.688)",="(1.690)",="(1.711)"

="N",="11693",="19032",="19032",="19032"
="r2_a",="0.179",="0.179",="0.179",="0.179"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
