="Cross-Sectional Robustness Check"

="",="(1)",="(2)"
="",="Panel (all obs)",="Cross-section (first obs)"

="claim_age_c62",="-0.00848",="-0.00394"
="",="(0.00964)",="(0.0133)"

="female",="0.0714*",="0.0928*"
="",="(0.0325)",="(0.0398)"

="1.raeduc",="0",="0"
="",="(.)",="(.)"

="2.raeduc",="-0.225**",="-0.295**"
="",="(0.0816)",="(0.106)"

="3.raeduc",="0.00353",="-0.0581"
="",="(0.0513)",="(0.0655)"

="4.raeduc",="-0.0716",="-0.0410"
="",="(0.0541)",="(0.0679)"

="5.raeduc",="0.164**",="0.186**"
="",="(0.0546)",="(0.0694)"

="black",="-0.149**",="-0.206**"
="",="(0.0500)",="(0.0663)"

="other_race",="0.0680",="0.107"
="",="(0.0766)",="(0.100)"

="hispanic",="0.263***",="0.284***"
="",="(0.0625)",="(0.0776)"

="shlt",="-0.371***",="-0.317***"
="",="(0.0231)",="(0.0323)"

="poor_health",="-0.169**",="-0.297***"
="",="(0.0525)",="(0.0791)"

="conde",="-0.0651***",="-0.0530**"
="",="(0.0116)",="(0.0162)"

="married",="0.585***",="0.591***"
="",="(0.100)",="(0.113)"

="widowed",="0.202",="0.0892"
="",="(0.104)",="(0.125)"

="divorced",="-0.0477",="-0.0358"
="",="(0.109)",="(0.124)"

="age",="0.104*",="0.264"
="",="(0.0461)",="(0.153)"

="age_sq",="-0.000585",="-0.00177"
="",="(0.000312)",="(0.00108)"

="8.wave",="0",="0"
="",="(.)",="(.)"

="9.wave",="0.710***",="0.712***"
="",="(0.0417)",="(0.0421)"

="10.wave",="0.622***",="0.644***"
="",="(0.0360)",="(0.0677)"

="11.wave",="0.534***",="0.424***"
="",="(0.0450)",="(0.0785)"

="12.wave",="0.695***",="0.691***"
="",="(0.0401)",="(0.0722)"

="13.wave",="0.792***",="0.763***"
="",="(0.0490)",="(0.0834)"

="14.wave",="0.787***",="0.760***"
="",="(0.0449)",="(0.0804)"

="15.wave",="0.727***",="0.673***"
="",="(0.0523)",="(0.0924)"

="16.wave",="0.795***",="0.776***"
="",="(0.0526)",="(0.0872)"

="_cons",="0.787",="-4.757"
="",="(1.694)",="(5.367)"

="N",="19032",="7893"
="r2_a",="0.179",="0.202"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
