="Retirement Robustness Check"

="",="(1)",="(2)"
="",="Full sample",="Retired only"

="claim_age_c62",="-0.00848",="-0.0101"
="",="(0.00964)",="(0.0113)"

="female",="0.0714*",="0.0683"
="",="(0.0325)",="(0.0365)"

="1.raeduc",="0",="0"
="",="(.)",="(.)"

="2.raeduc",="-0.225**",="-0.179"
="",="(0.0816)",="(0.0915)"

="3.raeduc",="0.00353",="-0.00195"
="",="(0.0513)",="(0.0571)"

="4.raeduc",="-0.0716",="-0.111"
="",="(0.0541)",="(0.0614)"

="5.raeduc",="0.164**",="0.150*"
="",="(0.0546)",="(0.0607)"

="black",="-0.149**",="-0.103"
="",="(0.0500)",="(0.0555)"

="other_race",="0.0680",="0.0649"
="",="(0.0766)",="(0.0854)"

="hispanic",="0.263***",="0.262***"
="",="(0.0625)",="(0.0703)"

="shlt",="-0.371***",="-0.370***"
="",="(0.0231)",="(0.0270)"

="poor_health",="-0.169**",="-0.183**"
="",="(0.0525)",="(0.0591)"

="conde",="-0.0651***",="-0.0789***"
="",="(0.0116)",="(0.0129)"

="married",="0.585***",="0.559***"
="",="(0.100)",="(0.107)"

="widowed",="0.202",="0.200"
="",="(0.104)",="(0.111)"

="divorced",="-0.0477",="-0.0579"
="",="(0.109)",="(0.118)"

="age",="0.104*",="0.106*"
="",="(0.0461)",="(0.0534)"

="age_sq",="-0.000585",="-0.000624"
="",="(0.000312)",="(0.000358)"

="8.wave",="0",="0"
="",="(.)",="(.)"

="9.wave",="0.710***",="0.749***"
="",="(0.0417)",="(0.0508)"

="10.wave",="0.622***",="0.669***"
="",="(0.0360)",="(0.0427)"

="11.wave",="0.534***",="0.593***"
="",="(0.0450)",="(0.0516)"

="12.wave",="0.695***",="0.739***"
="",="(0.0401)",="(0.0474)"

="13.wave",="0.792***",="0.832***"
="",="(0.0490)",="(0.0553)"

="14.wave",="0.787***",="0.826***"
="",="(0.0449)",="(0.0527)"

="15.wave",="0.727***",="0.786***"
="",="(0.0523)",="(0.0584)"

="16.wave",="0.795***",="0.821***"
="",="(0.0526)",="(0.0627)"

="_cons",="0.787",="0.897"
="",="(1.694)",="(1.978)"

="N",="19032",="13937"
="r2_a",="0.179",="0.186"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
