
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Men",="Women",="No Col",="College",="Married",="Not Mar"

="claim_age_c62",="-0.00760",="-0.0110",="-0.00565",="-0.0161",="-0.0286*",="0.0290"
="",="(0.0128)",="(0.0146)",="(0.0120)",="(0.0160)",="(0.0112)",="(0.0176)"

="female",="0",="0",="0.0668",="0.0750",="0.0620",="0.0562"
="",="(.)",="(.)",="(0.0376)",="(0.0641)",="(0.0367)",="(0.0631)"

="1.raeduc",="0",="0",="0",="",="0",="0"
="",="(.)",="(.)",="(.)",="",="(.)",="(.)"

="2.raeduc",="-0.258*",="-0.176",="-0.208*",="",="-0.0927",="-0.391**"
="",="(0.108)",="(0.123)",="(0.0815)",="",="(0.103)",="(0.129)"

="3.raeduc",="-0.0135",="0.0218",="0.0257",="",="0.0982",="-0.108"
="",="(0.0765)",="(0.0697)",="(0.0515)",="",="(0.0658)",="(0.0788)"

="4.raeduc",="-0.0647",="-0.0782",="-0.0451",="",="0.0686",="-0.272**"
="",="(0.0797)",="(0.0739)",="(0.0546)",="",="(0.0674)",="(0.0880)"

="5.raeduc",="0.143",="0.184*",="",="0",="0.268***",="0.0421"
="",="(0.0784)",="(0.0772)",="",="(.)",="(0.0681)",="(0.0918)"

="black",="-0.191**",="-0.131",="-0.118*",="-0.303*",="-0.270***",="-0.0400"
="",="(0.0731)",="(0.0675)",="(0.0544)",="(0.119)",="(0.0600)",="(0.0763)"

="other_race",="0.0322",="0.100",="0.0759",="0.0511",="-0.00897",="0.233*"
="",="(0.0913)",="(0.125)",="(0.0930)",="(0.129)",="(0.0970)",="(0.119)"

="hispanic",="0.281**",="0.235**",="0.296***",="-0.0379",="0.214**",="0.363***"
="",="(0.0862)",="(0.0910)",="(0.0659)",="(0.217)",="(0.0765)",="(0.103)"

="shlt",="-0.357***",="-0.385***",="-0.365***",="-0.372***",="-0.335***",="-0.448***"
="",="(0.0310)",="(0.0341)",="(0.0278)",="(0.0419)",="(0.0258)",="(0.0459)"

="poor_health",="-0.225**",="-0.110",="-0.142*",="-0.346**",="-0.160**",="-0.142"
="",="(0.0731)",="(0.0741)",="(0.0587)",="(0.124)",="(0.0608)",="(0.0976)"

="conde",="-0.0638***",="-0.0683***",="-0.0690***",="-0.0494*",="-0.0748***",="-0.0471*"
="",="(0.0156)",="(0.0170)",="(0.0136)",="(0.0218)",="(0.0137)",="(0.0208)"

="married",="0.749***",="0.413**",="0.587***",="0.591**",="0",="0"
="",="(0.149)",="(0.130)",="(0.105)",="(0.192)",="(.)",="(.)"

="widowed",="0.551***",="-0.0336",="0.160",="0.369",="0",="0.167"
="",="(0.161)",="(0.133)",="(0.110)",="(0.204)",="(.)",="(0.105)"

="divorced",="0.0751",="-0.188",="-0.0438",="-0.0406",="0",="-0.0558"
="",="(0.168)",="(0.139)",="(0.116)",="(0.216)",="(.)",="(0.107)"

="age",="0.0994",="0.108",="0.108",="0.0905",="0.140*",="0.0629"
="",="(0.0666)",="(0.0637)",="(0.0552)",="(0.0826)",="(0.0581)",="(0.0788)"

="age_sq",="-0.000574",="-0.000596",="-0.000576",="-0.000582",="-0.000849*",="-0.000279"
="",="(0.000450)",="(0.000431)",="(0.000374)",="(0.000555)",="(0.000395)",="(0.000526)"

="8.wave",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="9.wave",="0.721***",="0.697***",="0.686***",="0.795***",="0.727***",="0.664***"
="",="(0.0605)",="(0.0577)",="(0.0474)",="(0.0878)",="(0.0482)",="(0.0818)"

="10.wave",="0.648***",="0.596***",="0.612***",="0.651***",="0.629***",="0.605***"
="",="(0.0546)",="(0.0474)",="(0.0416)",="(0.0718)",="(0.0411)",="(0.0741)"

="11.wave",="0.504***",="0.565***",="0.524***",="0.554***",="0.544***",="0.499***"
="",="(0.0662)",="(0.0615)",="(0.0520)",="(0.0913)",="(0.0522)",="(0.0875)"

="12.wave",="0.701***",="0.688***",="0.690***",="0.704***",="0.717***",="0.637***"
="",="(0.0594)",="(0.0541)",="(0.0468)",="(0.0786)",="(0.0477)",="(0.0771)"

="13.wave",="0.857***",="0.732***",="0.735***",="0.930***",="0.791***",="0.778***"
="",="(0.0689)",="(0.0691)",="(0.0588)",="(0.0891)",="(0.0573)",="(0.0922)"

="14.wave",="0.821***",="0.752***",="0.730***",="0.914***",="0.796***",="0.763***"
="",="(0.0634)",="(0.0634)",="(0.0528)",="(0.0860)",="(0.0527)",="(0.0863)"

="15.wave",="0.785***",="0.670***",="0.694***",="0.806***",="0.785***",="0.601***"
="",="(0.0735)",="(0.0745)",="(0.0626)",="(0.0954)",="(0.0605)",="(0.0992)"

="16.wave",="0.785***",="0.807***",="0.773***",="0.867***",="0.827***",="0.726***"
="",="(0.0722)",="(0.0761)",="(0.0659)",="(0.0890)",="(0.0620)",="(0.0998)"

="_cons",="0.846",="0.846",="0.454",="1.817",="0.0110",="2.407"
="",="(2.450)",="(2.341)",="(2.033)",="(3.032)",="(2.131)",="(2.933)"

="N",="8706",="10326",="14385",="4647",="12687",="6345"
="r2_a",="0.196",="0.167",="0.162",="0.178",="0.141",="0.173"

="Standard errors in parentheses"
="All models use Total Effect controls (no income/assets)"
="* p<0.05, ** p<0.01, *** p<0.001"
