="Selection Decomposition: Sequential Attenuation of Claiming Age Coefficient"

="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Raw",="+ Demo",="+ Health",="+ Demo+Health",="Primary"

="claim_age_c62",="0.0439***",="0.0116",="0.0153",="-0.00855",="-0.00848"
="",="(0.0105)",="(0.0107)",="(0.00954)",="(0.00982)",="(0.00964)"

="N",="19032",="19032",="19032",="19032",="19032"
="r2_a",="0.00266",="0.0457",="0.114",="0.147",="0.179"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
