="Categorical Claiming Age (Primary Specification)"

="",="(1)",="(2)"
="",="Unadjusted",="Total Effect"

="1.claim_cat3",="0",="0"
="",="(.)",="(.)"

="2.claim_cat3",="0.102**",="-0.0390"
="",="(0.0375)",="(0.0334)"

="3.claim_cat3",="0.392***",="0.0745"
="",="(0.0928)",="(0.0821)"

="female",="",="0.0711*"
="",="",="(0.0324)"

="1.raeduc",="",="0"
="",="",="(.)"

="2.raeduc",="",="-0.225**"
="",="",="(0.0816)"

="3.raeduc",="",="0.00404"
="",="",="(0.0512)"

="4.raeduc",="",="-0.0709"
="",="",="(0.0541)"

="5.raeduc",="",="0.160**"
="",="",="(0.0545)"

="black",="",="-0.149**"
="",="",="(0.0500)"

="other_race",="",="0.0662"
="",="",="(0.0768)"

="hispanic",="",="0.262***"
="",="",="(0.0623)"

="shlt",="",="-0.370***"
="",="",="(0.0231)"

="poor_health",="",="-0.170**"
="",="",="(0.0525)"

="conde",="",="-0.0650***"
="",="",="(0.0116)"

="married",="",="0.586***"
="",="",="(0.100)"

="widowed",="",="0.204"
="",="",="(0.104)"

="divorced",="",="-0.0468"
="",="",="(0.109)"

="age",="",="0.0988*"
="",="",="(0.0460)"

="age_sq",="",="-0.000551"
="",="",="(0.000311)"

="8.wave",="",="0"
="",="",="(.)"

="9.wave",="",="0.710***"
="",="",="(0.0417)"

="10.wave",="",="0.622***"
="",="",="(0.0359)"

="11.wave",="",="0.534***"
="",="",="(0.0450)"

="12.wave",="",="0.695***"
="",="",="(0.0400)"

="13.wave",="",="0.791***"
="",="",="(0.0489)"

="14.wave",="",="0.784***"
="",="",="(0.0448)"

="15.wave",="",="0.722***"
="",="",="(0.0522)"

="16.wave",="",="0.789***"
="",="",="(0.0524)"

="_cons",="5.098***",="0.965"
="",="(0.0231)",="(1.692)"

="N",="19032",="19032"
="r2_a",="0.00307",="0.179"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
