="Table 2: Main Results - Claiming Age and Life Satisfaction"

="",="(1)",="(2)",="(3)",="(4)"
="",="Total Effect",="Direct Effect",="Total+liv75",="Full Model"

="claim_age_c62",="-0.00848",="-0.0154",="-0.231",="-0.227"
="",="(0.00964)",="(0.00961)",="(0.128)",="(0.128)"

="female",="0.0714*",="0.0745*",="0.0882",="0.112"
="",="(0.0325)",="(0.0321)",="(0.105)",="(0.104)"

="1.raeduc",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.raeduc",="-0.225**",="-0.260**",="-0.356",="-0.414"
="",="(0.0816)",="(0.0813)",="(0.292)",="(0.289)"

="3.raeduc",="0.00353",="-0.0616",="-0.145",="-0.242"
="",="(0.0513)",="(0.0516)",="(0.235)",="(0.238)"

="4.raeduc",="-0.0716",="-0.156**",="-0.0452",="-0.165"
="",="(0.0541)",="(0.0547)",="(0.235)",="(0.238)"

="5.raeduc",="0.164**",="0.0330",="0.225",="0.0438"
="",="(0.0546)",="(0.0568)",="(0.236)",="(0.245)"

="black",="-0.149**",="-0.0721",="-0.332*",="-0.208"
="",="(0.0500)",="(0.0510)",="(0.144)",="(0.155)"

="other_race",="0.0680",="0.0956",="-0.154",="-0.0609"
="",="(0.0766)",="(0.0758)",="(0.221)",="(0.220)"

="hispanic",="0.263***",="0.323***",="0.755***",="0.771***"
="",="(0.0625)",="(0.0631)",="(0.201)",="(0.197)"

="shlt",="-0.371***",="-0.360***",="-0.288**",="-0.264**"
="",="(0.0231)",="(0.0230)",="(0.0929)",="(0.0937)"

="poor_health",="-0.169**",="-0.153**",="-0.415",="-0.407"
="",="(0.0525)",="(0.0519)",="(0.228)",="(0.228)"

="conde",="-0.0651***",="-0.0588***",="0.0430",="0.0479"
="",="(0.0116)",="(0.0115)",="(0.0420)",="(0.0420)"

="married",="0.585***",="0.469***",="0.521*",="0.373"
="",="(0.100)",="(0.0962)",="(0.256)",="(0.255)"

="widowed",="0.202",="0.163",="-0.533",="-0.573"
="",="(0.104)",="(0.101)",="(0.349)",="(0.346)"

="divorced",="-0.0477",="-0.0454",="0.0165",="-0.0137"
="",="(0.109)",="(0.106)",="(0.280)",="(0.270)"

="age",="0.104*",="0.0998*",="0.660",="0.758"
="",="(0.0461)",="(0.0460)",="(0.921)",="(0.896)"

="age_sq",="-0.000585",="-0.000561",="-0.00362",="-0.00436"
="",="(0.000312)",="(0.000311)",="(0.00665)",="(0.00646)"

="8.wave",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="9.wave",="0.710***",="0.707***",="0.611***",="0.597***"
="",="(0.0417)",="(0.0416)",="(0.161)",="(0.163)"

="10.wave",="0.622***",="0.632***",="0.540**",="0.574***"
="",="(0.0360)",="(0.0359)",="(0.165)",="(0.162)"

="11.wave",="0.534***",="0.552***",="0.248",="0.300"
="",="(0.0450)",="(0.0447)",="(0.207)",="(0.203)"

="12.wave",="0.695***",="0.695***",="0.744***",="0.777***"
="",="(0.0401)",="(0.0400)",="(0.150)",="(0.154)"

="13.wave",="0.792***",="0.796***",="0.595**",="0.608**"
="",="(0.0490)",="(0.0487)",="(0.196)",="(0.195)"

="14.wave",="0.787***",="0.782***",="0.586**",="0.604**"
="",="(0.0449)",="(0.0448)",="(0.204)",="(0.202)"

="15.wave",="0.727***",="0.721***",="0.496*",="0.509*"
="",="(0.0523)",="(0.0522)",="(0.220)",="(0.223)"

="16.wave",="0.795***",="0.783***",="0.485*",="0.485*"
="",="(0.0526)",="(0.0524)",="(0.239)",="(0.237)"

="ln_hh_income",="",="0.0717***",="",="0.0863"
="",="",="(0.0176)",="",="(0.0751)"

="ihs_hh_assets",="",="0.0260***",="",="0.0281*"
="",="",="(0.00387)",="",="(0.0137)"

="liv75",="",="",="0.00714***",="0.00676**"
="",="",="",="(0.00215)",="(0.00216)"

="_cons",="0.787",="-0.0382",="-22.80",="-27.19"
="",="(1.694)",="(1.709)",="(31.69)",="(30.92)"

="N",="19032",="19032",="984",="984"
="r2_a",="0.179",="0.187",="0.225",="0.235"

="Standard errors in parentheses"
="Columns 1-2: Primary specification (N=19032), excludes liv75"
="Columns 3-4: Sensitivity with survival expectations (N=984)"
="* p<0.05, ** p<0.01, *** p<0.001"
