="Table 2 Panel A: Primary Specification (Excludes Survival Expectations)"

="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Unadjusted",="+ Demographics",="+ Health Only",="Total Effect",="Direct Effect"

="claim_age_c62",="0.0439***",="0.0116",="0.0153",="-0.00848",="-0.0154"
="",="(0.0105)",="(0.0107)",="(0.00954)",="(0.00964)",="(0.00961)"

="female",="",="0.0142",="",="0.0714*",="0.0745*"
="",="",="(0.0353)",="",="(0.0325)",="(0.0321)"

="1.raeduc",="",="0",="",="0",="0"
="",="",="(.)",="",="(.)",="(.)"

="2.raeduc",="",="-0.191*",="",="-0.225**",="-0.260**"
="",="",="(0.0934)",="",="(0.0816)",="(0.0813)"

="3.raeduc",="",="0.206***",="",="0.00353",="-0.0616"
="",="",="(0.0552)",="",="(0.0513)",="(0.0516)"

="4.raeduc",="",="0.143*",="",="-0.0716",="-0.156**"
="",="",="(0.0580)",="",="(0.0541)",="(0.0547)"

="5.raeduc",="",="0.496***",="",="0.164**",="0.0330"
="",="",="(0.0583)",="",="(0.0546)",="(0.0568)"

="black",="",="-0.448***",="",="-0.149**",="-0.0721"
="",="",="(0.0523)",="",="(0.0500)",="(0.0510)"

="other_race",="",="-0.0379",="",="0.0680",="0.0956"
="",="",="(0.0874)",="",="(0.0766)",="(0.0758)"

="hispanic",="",="0.155*",="",="0.263***",="0.323***"
="",="",="(0.0667)",="",="(0.0625)",="(0.0631)"

="8.wave",="",="0",="",="0",="0"
="",="",="(.)",="",="(.)",="(.)"

="9.wave",="",="0.658***",="",="0.710***",="0.707***"
="",="",="(0.0446)",="",="(0.0417)",="(0.0416)"

="10.wave",="",="0.595***",="",="0.622***",="0.632***"
="",="",="(0.0364)",="",="(0.0360)",="(0.0359)"

="11.wave",="",="0.487***",="",="0.534***",="0.552***"
="",="",="(0.0466)",="",="(0.0450)",="(0.0447)"

="12.wave",="",="0.638***",="",="0.695***",="0.695***"
="",="",="(0.0396)",="",="(0.0401)",="(0.0400)"

="13.wave",="",="0.706***",="",="0.792***",="0.796***"
="",="",="(0.0488)",="",="(0.0490)",="(0.0487)"

="14.wave",="",="0.721***",="",="0.787***",="0.782***"
="",="",="(0.0435)",="",="(0.0449)",="(0.0448)"

="15.wave",="",="0.660***",="",="0.727***",="0.721***"
="",="",="(0.0504)",="",="(0.0523)",="(0.0522)"

="16.wave",="",="0.729***",="",="0.795***",="0.783***"
="",="",="(0.0503)",="",="(0.0526)",="(0.0524)"

="shlt",="",="",="-0.394***",="-0.371***",="-0.360***"
="",="",="",="(0.0237)",="(0.0231)",="(0.0230)"

="poor_health",="",="",="-0.193***",="-0.169**",="-0.153**"
="",="",="",="(0.0547)",="(0.0525)",="(0.0519)"

="conde",="",="",="-0.0371**",="-0.0651***",="-0.0588***"
="",="",="",="(0.0119)",="(0.0116)",="(0.0115)"

="married",="",="",="",="0.585***",="0.469***"
="",="",="",="",="(0.100)",="(0.0962)"

="widowed",="",="",="",="0.202",="0.163"
="",="",="",="",="(0.104)",="(0.101)"

="divorced",="",="",="",="-0.0477",="-0.0454"
="",="",="",="",="(0.109)",="(0.106)"

="age",="",="",="",="0.104*",="0.0998*"
="",="",="",="",="(0.0461)",="(0.0460)"

="age_sq",="",="",="",="-0.000585",="-0.000561"
="",="",="",="",="(0.000312)",="(0.000311)"

="ln_hh_income",="",="",="",="",="0.0717***"
="",="",="",="",="",="(0.0176)"

="ihs_hh_assets",="",="",="",="",="0.0260***"
="",="",="",="",="",="(0.00387)"

="_cons",="5.076***",="4.299***",="6.328***",="0.787",="-0.0382"
="",="(0.0250)",="(0.0559)",="(0.0582)",="(1.694)",="(1.709)"

="N",="19032",="19032",="19032",="19032",="19032"
="r2_a",="0.00266",="0.0457",="0.114",="0.179",="0.187"

="Standard errors in parentheses"
="Primary specification to maximize sample size"
="Total Effect excludes income/assets to avoid 'bad controls'"
="* p<0.05, ** p<0.01, *** p<0.001"
