="Table 3: Mediation Analysis"

="",="(1)",="(2)",="(3)"
="",="Total Effect",="Path a (Strain)",="With Mediator"

="claim_age_c62",="-0.0107",="0.00518",="-0.00848"
="",="(0.0102)",="(0.00547)",="(0.00970)"

="female",="0.0765*",="0.0370",="0.0923**"
="",="(0.0345)",="(0.0194)",="(0.0329)"

="1.raeduc",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="2.raeduc",="-0.242**",="0.0968",="-0.201*"
="",="(0.0882)",="(0.0593)",="(0.0811)"

="3.raeduc",="-0.0111",="-0.0406",="-0.0285"
="",="(0.0564)",="(0.0333)",="(0.0545)"

="4.raeduc",="-0.0926",="-0.0214",="-0.102"
="",="(0.0587)",="(0.0353)",="(0.0571)"

="5.raeduc",="0.147*",="-0.161***",="0.0785"
="",="(0.0593)",="(0.0349)",="(0.0572)"

="black",="-0.137*",="0.114***",="-0.0879"
="",="(0.0542)",="(0.0330)",="(0.0528)"

="other_race",="0.0491",="0.125*",="0.103"
="",="(0.0826)",="(0.0561)",="(0.0791)"

="hispanic",="0.262***",="-0.0482",="0.242***"
="",="(0.0674)",="(0.0390)",="(0.0652)"

="shlt",="-0.374***",="0.102***",="-0.330***"
="",="(0.0246)",="(0.0135)",="(0.0239)"

="poor_health",="-0.148**",="0.0506",="-0.126*"
="",="(0.0565)",="(0.0337)",="(0.0540)"

="conde",="-0.0639***",="0.0526***",="-0.0414***"
="",="(0.0122)",="(0.00781)",="(0.0118)"

="married",="0.609***",="-0.131*",="0.553***"
="",="(0.105)",="(0.0606)",="(0.0968)"

="widowed",="0.233*",="-0.0306",="0.220*"
="",="(0.109)",="(0.0631)",="(0.101)"

="divorced",="-0.0282",="0.162*",="0.0408"
="",="(0.114)",="(0.0673)",="(0.107)"

="age",="0.105*",="-0.0426",="0.0870"
="",="(0.0496)",="(0.0270)",="(0.0481)"

="age_sq",="-0.000590",="0.000196",="-0.000506"
="",="(0.000334)",="(0.000181)",="(0.000324)"

="8.wave",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="10.wave",="0.614***",="0.136***",="0.672***"
="",="(0.0367)",="(0.0237)",="(0.0356)"

="11.wave",="0.533***",="0.135***",="0.591***"
="",="(0.0458)",="(0.0295)",="(0.0444)"

="12.wave",="0.693***",="0.103***",="0.737***"
="",="(0.0408)",="(0.0248)",="(0.0397)"

="13.wave",="0.793***",="0.150***",="0.857***"
="",="(0.0499)",="(0.0310)",="(0.0478)"

="14.wave",="0.783***",="0.0509",="0.804***"
="",="(0.0460)",="(0.0279)",="(0.0444)"

="15.wave",="0.719***",="-0.0324",="0.705***"
="",="(0.0530)",="(0.0309)",="(0.0507)"

="16.wave",="0.797***",="0.0241",="0.808***"
="",="(0.0538)",="(0.0312)",="(0.0515)"

="fin_strain",="",="",="-0.427***"
="",="",="",="(0.0210)"

="_cons",="0.712",="3.162**",="2.061"
="",="(1.826)",="(1.000)",="(1.770)"

="N",="16250",="16250",="16250"
="r2_a",="0.177",="0.0930",="0.229"

="Standard errors in parentheses"
="Path a: Claiming age -> Financial strain"
="Path b: Financial strain -> Life satisfaction"
="Indirect effect (a x b) = -0.0022 (not significant)"
="* p<0.05, ** p<0.01, *** p<0.001"
