="Table 4: Heterogeneity Analysis"

="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Health",="Gender",="Education",="Low Wealth",="Survival"

="claim_age_c62",="-0.00134",="-0.00658",="-0.00554",="-0.0104",="-0.171"
="",="(0.0102)",="(0.0125)",="(0.0118)",="(0.0102)",="(0.141)"

="0.poor_health",="0",="",="",="",=""
="",="(.)",="",="",="",=""

="1.poor_health",="-0.118",="",="",="",=""
="",="(0.0626)",="",="",="",=""

="poor_health",="",="-0.169**",="-0.169**",="-0.151**",="-0.501*"
="",="",="(0.0525)",="(0.0523)",="(0.0522)",="(0.229)"

="0.poor_health#c.claim_age_c62",="0",="",="",="",=""
="",="(.)",="",="",="",=""

="1.poor_health#c.claim_age_c62",="-0.0381",="",="",="",=""
="",="(0.0235)",="",="",="",=""

="female",="0.0714*",="",="0.0742*",="0.0715*",="0.124"
="",="(0.0325)",="",="(0.0324)",="(0.0322)",="(0.105)"

="1.raeduc",="0",="0",="",="0",="0"
="",="(.)",="(.)",="",="(.)",="(.)"

="2.raeduc",="-0.223**",="-0.225**",="",="-0.241**",="-0.275"
="",="(0.0815)",="(0.0816)",="",="(0.0817)",="(0.285)"

="3.raeduc",="0.00557",="0.00338",="",="-0.0625",="-0.0872"
="",="(0.0512)",="(0.0513)",="",="(0.0516)",="(0.228)"

="4.raeduc",="-0.0698",="-0.0716",="",="-0.151**",="0.0203"
="",="(0.0541)",="(0.0541)",="",="(0.0546)",="(0.227)"

="5.raeduc",="0.163**",="0.164**",="",="0.0583",="0.275"
="",="(0.0546)",="(0.0546)",="",="(0.0556)",="(0.228)"

="black",="-0.149**",="-0.149**",="-0.145**",="-0.0674",="-0.276"
="",="(0.0502)",="(0.0500)",="(0.0496)",="(0.0512)",="(0.148)"

="other_race",="0.0687",="0.0680",="0.0658",="0.0844",="-0.117"
="",="(0.0763)",="(0.0766)",="(0.0761)",="(0.0774)",="(0.218)"

="hispanic",="0.262***",="0.263***",="0.273***",="0.311***",="0.751***"
="",="(0.0622)",="(0.0625)",="(0.0622)",="(0.0632)",="(0.199)"

="shlt",="-0.370***",="-0.371***",="-0.370***",="-0.362***",="-0.347***"
="",="(0.0231)",="(0.0231)",="(0.0231)",="(0.0230)",="(0.0913)"

="conde",="-0.0651***",="-0.0651***",="-0.0660***",="-0.0584***",="0.0475"
="",="(0.0116)",="(0.0116)",="(0.0116)",="(0.0115)",="(0.0423)"

="married",="0.586***",="0.584***",="0.585***",="0.509***",="0.507*"
="",="(0.101)",="(0.100)",="(0.0998)",="(0.0977)",="(0.257)"

="widowed",="0.203",="0.201",="0.205*",="0.175",="-0.582"
="",="(0.105)",="(0.104)",="(0.104)",="(0.102)",="(0.348)"

="divorced",="-0.0476",="-0.0476",="-0.0531",="-0.0330",="0.0179"
="",="(0.110)",="(0.109)",="(0.109)",="(0.107)",="(0.281)"

="age",="0.0994*",="0.104*",="0.106*",="0.0978*",="0.517"
="",="(0.0461)",="(0.0461)",="(0.0460)",="(0.0461)",="(0.935)"

="age_sq",="-0.000555",="-0.000586",="-0.000599",="-0.000558",="-0.00247"
="",="(0.000312)",="(0.000312)",="(0.000311)",="(0.000312)",="(0.00678)"

="8.wave",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="9.wave",="0.710***",="0.710***",="0.707***",="0.711***",="0.608***"
="",="(0.0417)",="(0.0417)",="(0.0418)",="(0.0415)",="(0.161)"

="10.wave",="0.621***",="0.622***",="0.619***",="0.634***",="0.512**"
="",="(0.0359)",="(0.0360)",="(0.0360)",="(0.0357)",="(0.168)"

="11.wave",="0.532***",="0.534***",="0.528***",="0.559***",="0.228"
="",="(0.0450)",="(0.0450)",="(0.0450)",="(0.0448)",="(0.210)"

="12.wave",="0.694***",="0.695***",="0.688***",="0.704***",="0.722***"
="",="(0.0401)",="(0.0401)",="(0.0401)",="(0.0399)",="(0.156)"

="13.wave",="0.791***",="0.793***",="0.785***",="0.811***",="0.522**"
="",="(0.0490)",="(0.0490)",="(0.0488)",="(0.0485)",="(0.198)"

="14.wave",="0.784***",="0.787***",="0.779***",="0.795***",="0.545**"
="",="(0.0449)",="(0.0449)",="(0.0448)",="(0.0448)",="(0.206)"

="15.wave",="0.725***",="0.727***",="0.716***",="0.735***",="0.442*"
="",="(0.0523)",="(0.0523)",="(0.0519)",="(0.0521)",="(0.222)"

="16.wave",="0.793***",="0.795***",="0.783***",="0.792***",="0.474*"
="",="(0.0525)",="(0.0525)",="(0.0523)",="(0.0523)",="(0.239)"

="0.female",="",="0",="",="",=""
="",="",="(.)",="",="",=""

="1.female",="",="0.0776",="",="",=""
="",="",="(0.0439)",="",="",=""

="0.female#c.claim_age_c62",="",="0",="",="",=""
