="Table 5: Alternative SWB Outcomes (Primary Specification)"

="",="(1)",="(2)",="(3)",="(4)"
="",="Life Sat",="Pos Affect",="Neg Affect",="Loneliness"

="claim_age_c62",="-0.00848",="0.00483",="0.00253",="0.00188"
="",="(0.00964)",="(0.00548)",="(0.00403)",="(0.00360)"

="female",="0.0714*",="0.0462*",="0.106***",="0.0237"
="",="(0.0325)",="(0.0185)",="(0.0140)",="(0.0127)"

="1.raeduc",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.raeduc",="-0.225**",="0.0838",="0.0250",="0.0130"
="",="(0.0816)",="(0.0495)",="(0.0413)",="(0.0380)"

="3.raeduc",="0.00353",="0.119***",="-0.00893",="-0.0234"
="",="(0.0513)",="(0.0302)",="(0.0243)",="(0.0211)"

="4.raeduc",="-0.0716",="0.178***",="-0.00169",="-0.0191"
="",="(0.0541)",="(0.0309)",="(0.0250)",="(0.0221)"

="5.raeduc",="0.164**",="0.246***",="0.00549",="-0.0360"
="",="(0.0546)",="(0.0317)",="(0.0251)",="(0.0227)"

="black",="-0.149**",="0.174***",="-0.0520*",="-0.0379"
="",="(0.0500)",="(0.0278)",="(0.0251)",="(0.0215)"

="other_race",="0.0680",="0.0984",="-0.0219",="0.00658"
="",="(0.0766)",="(0.0525)",="(0.0336)",="(0.0309)"

="hispanic",="0.263***",="-0.00726",="-0.0598*",="-0.0911***"
="",="(0.0625)",="(0.0436)",="(0.0259)",="(0.0257)"

="shlt",="-0.371***",="-0.249***",="0.118***",="0.0671***"
="",="(0.0231)",="(0.0129)",="(0.00905)",="(0.00838)"

="poor_health",="-0.169**",="-0.0462",="0.0909***",="0.0717***"
="",="(0.0525)",="(0.0292)",="(0.0218)",="(0.0204)"

="conde",="-0.0651***",="-0.0266***",="0.0359***",="0.0363***"
="",="(0.0116)",="(0.00675)",="(0.00548)",="(0.00471)"

="married",="0.585***",="0.270***",="-0.0790",="-0.253***"
="",="(0.100)",="(0.0502)",="(0.0431)",="(0.0417)"

="widowed",="0.202",="0.203***",="-0.0618",="-0.00703"
="",="(0.104)",="(0.0531)",="(0.0445)",="(0.0433)"

="divorced",="-0.0477",="0.180***",="-0.0667",="-0.0194"
="",="(0.109)",="(0.0548)",="(0.0463)",="(0.0451)"

="age",="0.104*",="0.0746**",="-0.0454*",="-0.0435**"
="",="(0.0461)",="(0.0249)",="(0.0183)",="(0.0169)"

="age_sq",="-0.000585",="-0.000518**",="0.000255*",="0.000242*"
="",="(0.000312)",="(0.000168)",="(0.000124)",="(0.000114)"

="8.wave",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="9.wave",="0.710***",="0.0455*",="0.120***",="-0.0151"
="",="(0.0417)",="(0.0223)",="(0.0179)",="(0.0170)"

="10.wave",="0.622***",="-0.0234",="0.140***",="-0.0132"
="",="(0.0360)",="(0.0198)",="(0.0157)",="(0.0141)"

="11.wave",="0.534***",="-0.0266",="0.148***",="0.00681"
="",="(0.0450)",="(0.0239)",="(0.0197)",="(0.0178)"

="12.wave",="0.695***",="-0.0148",="0.146***",="-0.0133"
="",="(0.0401)",="(0.0211)",="(0.0171)",="(0.0155)"

="13.wave",="0.792***",="-0.00173",="0.142***",="-0.00958"
="",="(0.0490)",="(0.0261)",="(0.0211)",="(0.0196)"

="14.wave",="0.787***",="0.0239",="0.133***",="-0.00615"
="",="(0.0449)",="(0.0248)",="(0.0198)",="(0.0179)"

="15.wave",="0.727***",="-0.0164",="0.189***",="0.0392"
="",="(0.0523)",="(0.0275)",="(0.0223)",="(0.0215)"

="16.wave",="0.795***",="0.0126",="0.133***",="-0.00552"
="",="(0.0526)",="(0.0298)",="(0.0225)",="(0.0205)"

="_cons",="0.787",="1.283",="3.057***",="3.203***"
="",="(1.694)",="(0.920)",="(0.671)",="(0.619)"

="N",="19032",="18735",="18751",="18781"
="r2_a",="0.179",="0.171",="0.108",="0.115"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
